SOAcondition,accuracy,height,operation,response,rt,size,stimulus,subject_nr,truth,width,md,auc,xflips,init_time
neutral,1,1050,add,1,1022,large,8_4_add_true.jpg,128,TRUE,1680,0.620323415,0.90687439,0,500
neutral,1,1050,mult,1,1022,small,5_3_mult_FI.jpg,129,FALSE,1680,0.431782933,0.244316141,1,460
neutral,1,1050,add,1,1022,large,8_4_add_true.jpg,132,TRUE,1680,-0.097305082,-0.098321593,0,500
negative,1,1050,add,2,1022,small,5_3_add_true.jpg,135,TRUE,1680,0.034296179,0.015201244,0,520
neutral,1,1050,add,1,1022,large,8_4_add_true.jpg,138,TRUE,1680,0.078950942,0.069576644,0,440
negative,1,1050,add,2,1022,small,5_3_add_FI.jpg,140,FALSE,1680,0.361523812,0.513918391,0,140
neutral,1,1050,add,2,1022,large,6_8_add_FI.jpg,146,FALSE,1680,0.546336993,0.67119945,0,360
neutral,1,1050,mult,2,1023,small,2_7_mult_true.jpg,103,TRUE,1680,-0.241268415,-0.095683451,0,520
neutral,1,1050,mult,1,1023,small,2_7_mult_FI.jpg,103,FALSE,1680,0.984357738,0.778785272,1,300
negative,1,1050,add,1,1023,small,8_2_add_FI.jpg,105,FALSE,1680,1.504704004,1.426837105,0,240
negative,1,1050,add,2,1023,large,6_8_add_true.jpg,105,TRUE,1680,0.132013735,-0.011871329,0,380
negative,1,1050,mult,2,1023,small,5_3_mult_FI.jpg,110,FALSE,1680,-0.195402574,-0.150394276,0,540
neutral,1,1050,add,1,1023,large,4_9_add_FI.jpg,113,FALSE,1680,0.306198402,0.106456795,0,280
neutral,1,1050,add,2,1023,small,8_2_add_true.jpg,123,TRUE,1680,-0.255425035,-0.184820306,0,340
neutral,1,1050,mult,2,1023,large,8_4_mult_true.jpg,123,TRUE,1680,-0.177428269,-0.116404606,1,420
negative,1,1050,mult,1,1023,large,4_9_mult_FI.jpg,127,FALSE,1680,1.60354104,1.871180303,1,460
neutral,1,1050,add,2,1023,large,4_9_add_true.jpg,129,TRUE,1680,0.434583391,0.385143027,1,40
negative,1,1050,add,2,1023,large,6_8_add_true.jpg,129,TRUE,1680,-0.145617189,-0.098820705,0,60
negative,1,1050,mult,1,1023,small,5_3_mult_true.jpg,130,TRUE,1680,0.07678833,0.052125916,0,540
neutral,1,1050,add,2,1023,large,6_8_add_FI.jpg,130,FALSE,1680,-0.104406856,-0.1422254,0,500
negative,1,1050,mult,2,1023,small,2_7_mult_true.jpg,137,TRUE,1680,0.227421636,0.173711184,0,340
negative,1,1050,add,1,1023,large,6_8_add_FI.jpg,139,FALSE,1680,0.360558794,0.477929517,0,280
negative,1,1050,mult,2,1023,small,3_6_mult_true.jpg,143,TRUE,1680,0.311092223,0.307981344,0,500
negative,1,1050,mult,2,1023,large,4_9_mult_FI.jpg,146,FALSE,1680,0.634636858,0.622102937,1,500
negative,1,1050,mult,1,1023,large,4_9_mult_true.jpg,148,TRUE,1680,0.629053562,0.600951205,0,40
negative,1,1050,mult,2,1024,small,8_2_mult_true.jpg,101,TRUE,1680,-0.169184907,-0.226235563,0,400
neutral,1,1050,add,1,1024,small,5_3_add_FNI.jpg,105,FALSE,1680,0.513895741,0.430434539,0,420
negative,1,1050,mult,1,1024,small,5_3_mult_true.jpg,110,TRUE,1680,-0.181500417,-0.172294039,0,540
negative,1,1050,mult,2,1024,large,8_4_mult_FI.jpg,110,FALSE,1680,-0.075343135,-0.076267626,0,620
negative,1,1050,mult,1,1024,small,5_3_mult_FI.jpg,113,FALSE,1680,1.315740728,1.21761525,0,60
negative,1,1050,mult,2,1024,large,6_8_mult_FI.jpg,126,FALSE,1680,0.98729663,1.586768947,0,400
negative,1,1050,mult,2,1024,small,8_2_mult_FI.jpg,126,FALSE,1680,-0.130435728,-0.104149273,0,560
negative,1,1050,add,1,1024,small,5_3_add_true.jpg,126,TRUE,1680,-0.322061645,-0.235687941,0,560
negative,1,1050,mult,2,1024,small,2_7_mult_FI.jpg,128,FALSE,1680,0.837591021,0.50943576,3,400
negative,1,1050,mult,1,1024,small,8_2_mult_true.jpg,130,TRUE,1680,-0.110612849,-0.037469028,0,540
neutral,1,1050,mult,2,1024,large,8_4_mult_true.jpg,139,TRUE,1680,1.876382905,1.98225896,1,40
negative,1,1050,add,2,1024,small,5_3_add_true.jpg,149,TRUE,1680,-0.18703614,-0.191901266,0,480
negative,1,1050,add,1,1025,small,3_6_add_true.jpg,102,TRUE,1680,-0.134944417,-0.125560824,0,440
negative,1,1050,add,2,1025,small,3_6_add_true.jpg,105,TRUE,1680,0.293348152,0.261960554,0,320
negative,1,1050,add,2,1025,large,9_7_add_true.jpg,105,TRUE,1680,0.623450358,0.606910305,0,260
neutral,1,1050,add,1,1025,small,8_2_add_FNI.jpg,105,FALSE,1680,0.399434285,0.390615702,0,380
negative,1,1050,mult,2,1025,small,5_3_mult_true.jpg,107,TRUE,1680,-0.086609377,-0.004283467,0,380
negative,1,1050,add,1,1025,large,4_9_add_FI.jpg,115,FALSE,1680,0.449115072,0.576961779,0,380
neutral,1,1050,add,2,1025,small,3_6_add_FNI.jpg,116,FALSE,1680,0.932799135,0.812985666,0,60
negative,1,1050,add,1,1025,large,8_4_add_true.jpg,126,TRUE,1680,0.288332722,0.220699603,0,540
neutral,1,1050,mult,2,1025,large,4_9_mult_true.jpg,127,TRUE,1680,0.191224919,-0.087841705,0,480
neutral,1,1050,add,2,1025,small,8_2_add_true.jpg,127,TRUE,1680,0.059606828,0.053743551,0,540
negative,1,1050,mult,2,1025,large,6_8_mult_true.jpg,145,TRUE,1680,0.14791089,0.085741886,0,100
neutral,1,1050,mult,2,1025,large,9_7_mult_FI.jpg,146,FALSE,1680,0.429210169,0.4622744,0,100
negative,1,1050,mult,1,1025,small,3_6_mult_true.jpg,146,TRUE,1680,0.371122955,0.436209224,0,540
negative,1,1050,add,2,1025,large,9_7_add_true.jpg,151,TRUE,1680,-0.08593041,-0.062433044,0,460
neutral,1,1050,mult,1,1026,large,4_9_mult_FNI.jpg,103,FALSE,1680,1.161902397,0.642293247,0,320
negative,1,1050,add,2,1026,small,2_7_add_true.jpg,111,TRUE,1680,0.061409094,0.007629382,1,360
neutral,1,1050,add,1,1026,small,2_7_add_true.jpg,116,TRUE,1680,0.444108284,0.026951101,0,60
negative,1,1050,add,2,1026,small,8_2_add_true.jpg,119,TRUE,1680,-0.25336931,-0.267477918,0,420
neutral,1,1050,mult,2,1026,small,5_3_mult_FI.jpg,126,FALSE,1680,0.090803458,0.086857729,0,640
negative,1,1050,add,2,1026,small,2_7_add_true.jpg,131,TRUE,1680,0.158442986,0.13406484,0,300
neutral,1,1050,mult,2,1026,small,8_2_mult_true.jpg,135,TRUE,1680,0.466191702,0.385312137,1,460
neutral,1,1050,add,2,1026,small,3_6_add_true.jpg,135,TRUE,1680,0.115385382,0.013620208,0,300
neutral,1,1050,mult,2,1026,small,8_2_mult_true.jpg,137,TRUE,1680,0.043726422,0.033642346,0,480
neutral,1,1050,add,1,1026,small,2_7_add_true.jpg,140,TRUE,1680,0.15494305,-0.039324628,0,60
negative,1,1050,mult,1,1026,small,8_2_mult_true.jpg,140,TRUE,1680,0.319947209,-0.098004076,0,340
negative,1,1050,add,2,1026,large,6_8_add_true.jpg,141,TRUE,1680,-0.754571499,-0.630842004,0,180
neutral,1,1050,mult,1,1026,small,2_7_mult_true.jpg,150,TRUE,1680,0.469665662,0.08423125,2,320
negative,1,1050,mult,2,1027,large,9_7_mult_true.jpg,105,TRUE,1680,-0.191158079,-0.05731796,0,280
negative,1,1050,add,1,1027,large,9_7_add_true.jpg,108,TRUE,1680,0.194952522,0.226872875,0,300
negative,1,1050,add,2,1027,large,4_9_add_FI.jpg,108,FALSE,1680,0.486881989,0.101129419,0,280
neutral,1,1050,add,2,1027,large,8_4_add_FNI.jpg,108,FALSE,1680,0.503759031,0.202901366,0,220
negative,1,1050,mult,2,1027,large,8_4_mult_true.jpg,109,TRUE,1680,0.51478794,0.217164287,1,180
neutral,1,1050,mult,2,1027,small,8_2_mult_FI.jpg,114,FALSE,1680,0.293916057,0.319569143,0,320
neutral,1,1050,mult,2,1027,large,6_8_mult_true.jpg,115,TRUE,1680,-0.252143811,-0.291594271,0,540
negative,1,1050,mult,2,1027,small,3_6_mult_true.jpg,117,TRUE,1680,-0.20318784,-0.270346688,0,540
neutral,1,1050,mult,1,1027,small,5_3_mult_true.jpg,130,TRUE,1680,0.328354274,0.031888389,0,380
negative,1,1050,add,2,1027,small,5_3_add_true.jpg,131,TRUE,1680,-0.228134704,-0.225700617,0,340
neutral,1,1050,mult,1,1027,small,2_7_mult_true.jpg,150,TRUE,1680,0.45452011,0.044525612,1,60
negative,1,1050,add,1,1028,large,8_4_add_FI.jpg,103,FALSE,1680,0.386407847,0.317001311,1,480
neutral,1,1050,add,2,1028,small,5_3_add_true.jpg,109,TRUE,1680,0.903968388,1.173658725,0,340
negative,1,1050,mult,2,1028,large,6_8_mult_FNI.jpg,110,FALSE,1680,-0.028483107,-0.022630657,0,600
neutral,1,1050,add,1,1028,small,5_3_add_true.jpg,114,TRUE,1680,-0.116240508,0.010337864,0,460
negative,1,1050,mult,2,1028,large,6_8_mult_true.jpg,121,TRUE,1680,0.474355543,0.24026037,2,300
neutral,1,1050,add,1,1028,small,5_3_add_true.jpg,126,TRUE,1680,0.254477316,0.099475366,0,520
negative,1,1050,add,2,1028,small,8_2_add_true.jpg,129,TRUE,1680,0.91006697,0.617528462,3,40
neutral,1,1050,mult,1,1028,small,2_7_mult_true.jpg,130,TRUE,1680,0.909064158,0.78098065,1,400
negative,1,1050,mult,2,1028,small,2_7_mult_FI.jpg,130,FALSE,1680,-0.133081528,-0.162457561,0,500
negative,1,1050,add,1,1028,large,8_4_add_true.jpg,134,TRUE,1680,-0.264903251,-0.352598218,1,460
neutral,1,1050,mult,1,1028,large,4_9_mult_true.jpg,148,TRUE,1680,0.321822316,0.240820427,0,240
neutral,1,1050,mult,2,1029,small,3_6_mult_FI.jpg,104,FALSE,1680,1.770768853,1.156317964,0,280
negative,1,1050,mult,1,1029,large,9_7_mult_true.jpg,108,TRUE,1680,0.165573193,0.066541431,0,300
neutral,1,1050,add,1,1029,large,6_8_add_true.jpg,108,TRUE,1680,0.499027607,0.348455949,1,40
neutral,1,1050,mult,1,1029,large,8_4_mult_true.jpg,108,TRUE,1680,0.671530908,0.635109905,0,60
neutral,1,1050,mult,2,1029,large,6_8_mult_FI.jpg,110,FALSE,1680,-0.192514373,-0.22045312,0,520
negative,1,1050,mult,2,1029,large,6_8_mult_FI.jpg,110,FALSE,1680,0.269398725,0.177928151,1,540
neutral,1,1050,add,1,1029,large,6_8_add_FI.jpg,111,FALSE,1680,0.334814599,0.394727285,0,140
neutral,1,1050,mult,2,1029,small,3_6_mult_FNI.jpg,112,FALSE,1680,0.328714706,0.260200539,0,180
negative,1,1050,add,2,1029,small,3_6_add_true.jpg,113,TRUE,1680,0.370606417,0.173749633,2,400
neutral,1,1050,mult,1,1029,small,8_2_mult_true.jpg,114,TRUE,1680,1.027381848,0.408961553,2,300
negative,1,1050,mult,2,1029,large,8_4_mult_true.jpg,115,TRUE,1680,0.218782398,0.271990785,0,340
negative,1,1050,add,2,1029,small,2_7_add_true.jpg,117,TRUE,1680,-0.07015282,-0.092407554,0,600
neutral,1,1050,mult,2,1029,large,9_7_mult_true.jpg,121,TRUE,1680,-0.059816969,-0.064602347,0,420
negative,1,1050,add,2,1029,large,9_7_add_FI.jpg,122,FALSE,1680,0.089812559,0.104386945,0,440
neutral,1,1050,add,1,1029,large,9_7_add_FI.jpg,123,FALSE,1680,0.803922412,0.683958828,0,240
negative,1,1050,mult,2,1029,large,4_9_mult_true.jpg,127,TRUE,1680,1.287315206,0.977682313,1,500
negative,1,1050,mult,2,1029,small,3_6_mult_FNI.jpg,132,FALSE,1680,0.556988505,0.665912027,0,420
neutral,1,1050,add,1,1029,small,5_3_add_true.jpg,132,TRUE,1680,-0.114620958,-0.143302348,0,460
neutral,1,1050,mult,2,1029,large,6_8_mult_true.jpg,137,TRUE,1680,0.122161152,0.109299132,0,520
neutral,1,1050,add,2,1029,small,5_3_add_true.jpg,141,TRUE,1680,0.589590933,0.961354254,2,560
neutral,1,1050,mult,2,1029,large,8_4_mult_true.jpg,149,TRUE,1680,0.039989409,0.020584392,0,480
negative,1,1050,add,1,1030,small,8_2_add_FNI.jpg,103,FALSE,1680,0.329205606,0.277116409,1,140
neutral,1,1050,add,1,1030,large,4_9_add_true.jpg,106,TRUE,1680,0.67501928,0.56379418,0,340
neutral,1,1050,mult,1,1030,small,5_3_mult_FNI.jpg,107,FALSE,1680,0.105888942,0.092346663,0,500
neutral,1,1050,add,1,1030,small,5_3_add_true.jpg,108,TRUE,1680,0.758321217,0.682660077,1,280
negative,1,1050,add,2,1030,large,4_9_add_FI.jpg,108,FALSE,1680,0.574498778,0.341438558,0,40
neutral,1,1050,add,1,1030,small,2_7_add_true.jpg,108,TRUE,1680,0.800546581,0.476143497,0,80
neutral,1,1050,add,1,1030,large,6_8_add_true.jpg,110,TRUE,1680,-0.09477619,-0.08588932,0,500
neutral,1,1050,add,2,1030,small,3_6_add_true.jpg,111,TRUE,1680,0.091593048,0.102642153,0,560
neutral,1,1050,add,1,1030,large,9_7_add_FI.jpg,111,FALSE,1680,0.211433165,0.268617278,0,580
negative,1,1050,add,1,1030,large,6_8_add_FI.jpg,113,FALSE,1680,-0.265758326,-0.264220824,2,300
neutral,1,1050,mult,2,1030,small,2_7_mult_FNI.jpg,114,FALSE,1680,0.224773609,0.064206264,1,520
neutral,1,1050,mult,2,1030,small,2_7_mult_true.jpg,115,TRUE,1680,1.487950693,2.015638318,1,80
negative,1,1050,mult,2,1030,small,2_7_mult_FNI.jpg,116,FALSE,1680,0.424944044,0.504857435,0,100
neutral,1,1050,mult,2,1030,large,6_8_mult_true.jpg,123,TRUE,1680,1.067229289,0.757604283,0,100
neutral,1,1050,add,2,1030,small,8_2_add_FNI.jpg,126,FALSE,1680,0.10681474,0.002931059,0,540
neutral,1,1050,mult,1,1030,large,9_7_mult_true.jpg,126,TRUE,1680,1.013841076,0.846373764,0,460
negative,1,1050,mult,1,1030,large,4_9_mult_FI.jpg,127,FALSE,1680,1.390672786,1.930827309,1,520
neutral,1,1050,mult,2,1030,large,6_8_mult_FI.jpg,132,FALSE,1680,-0.077088411,-0.021222869,0,540
negative,1,1050,add,2,1030,small,3_6_add_true.jpg,133,TRUE,1680,0.100589212,0.043047188,0,120
neutral,1,1050,mult,1,1030,large,6_8_mult_true.jpg,138,TRUE,1680,0.126766576,0.129254845,0,480
neutral,1,1050,add,2,1030,small,3_6_add_true.jpg,139,TRUE,1680,-0.766785013,-0.737749009,1,100
neutral,1,1050,mult,1,1030,large,4_9_mult_true.jpg,148,TRUE,1680,0.197692781,0.161895673,0,160
negative,1,1050,add,1,1031,small,5_3_add_true.jpg,112,TRUE,1680,-0.119904414,-0.084815212,0,260
neutral,1,1050,mult,1,1031,small,3_6_mult_true.jpg,114,TRUE,1680,0.409195813,0.403062084,0,60
neutral,1,1050,mult,2,1031,small,8_2_mult_true.jpg,121,TRUE,1680,0.565184631,0.476703216,1,340
negative,1,1050,mult,2,1031,large,8_4_mult_true.jpg,123,TRUE,1680,0.111529992,0.128575768,0,60
neutral,1,1050,mult,1,1031,small,3_6_mult_FI.jpg,127,FALSE,1680,1.284364076,1.787871175,0,340
neutral,1,1050,add,1,1031,small,2_7_add_FNI.jpg,129,FALSE,1680,1.43285053,1.042493012,0,220
negative,1,1050,mult,2,1031,small,5_3_mult_true.jpg,137,TRUE,1680,0.138721497,0.146505191,0,400
negative,1,1050,add,1,1031,small,2_7_add_true.jpg,146,TRUE,1680,0.365765808,0.302020993,0,620
neutral,1,1050,mult,1,1031,large,9_7_mult_true.jpg,146,TRUE,1680,0.082402288,0.121789223,0,540
negative,1,1050,add,1,1031,large,8_4_add_true.jpg,146,TRUE,1680,0.416321629,0.425951807,0,520
neutral,1,1050,add,2,1032,small,2_7_add_true.jpg,101,TRUE,1680,0.336237931,0.2311187,0,40
negative,1,1050,mult,2,1032,small,2_7_mult_true.jpg,105,TRUE,1680,0.554847531,0.426552292,0,340
neutral,1,1050,mult,2,1032,large,6_8_mult_true.jpg,113,TRUE,1680,0.592782135,0.06865681,5,100
negative,1,1050,mult,2,1032,large,9_7_mult_true.jpg,117,TRUE,1680,-0.103417728,-0.122417025,0,460
negative,1,1050,mult,1,1032,small,5_3_mult_true.jpg,126,TRUE,1680,0.590370741,0.342475637,1,220
neutral,1,1050,add,1,1032,large,4_9_add_true.jpg,132,TRUE,1680,0.254056254,0.285218038,0,460
negative,1,1050,mult,1,1032,small,8_2_mult_FI.jpg,137,FALSE,1680,0.386655627,0.380850337,0,460
negative,1,1050,mult,2,1032,large,8_4_mult_FI.jpg,146,FALSE,1680,0.134440996,0.122277252,0,480
negative,1,1050,mult,1,1032,small,3_6_mult_true.jpg,148,TRUE,1680,0.178873794,0.115889062,0,400
negative,1,1050,mult,1,1033,small,3_6_mult_true.jpg,110,TRUE,1680,0.695389872,0.840925816,1,540
neutral,1,1050,add,2,1033,large,8_4_add_true.jpg,117,TRUE,1680,-0.039304096,-0.0179655,0,620
negative,1,1050,add,1,1033,small,5_3_add_FNI.jpg,123,FALSE,1680,-0.127479805,-0.057608862,0,480
neutral,1,1050,mult,1,1033,small,3_6_mult_true.jpg,126,TRUE,1680,-0.146832847,-0.178921746,0,580
negative,1,1050,mult,1,1033,large,4_9_mult_true.jpg,126,TRUE,1680,0.252193947,0.254222421,0,440
negative,1,1050,mult,1,1033,large,9_7_mult_true.jpg,128,TRUE,1680,0.774167682,0.260652757,2,380
neutral,1,1050,add,1,1033,small,5_3_add_true.jpg,138,TRUE,1680,0.377348345,0.449197807,0,440
neutral,1,1050,mult,2,1033,small,8_2_mult_FI.jpg,146,FALSE,1680,0.215728972,0.211188867,0,440
neutral,1,1050,add,1,1033,small,3_6_add_FNI.jpg,147,FALSE,1680,0.872044916,0.935474355,0,480
negative,1,1050,mult,1,1033,large,4_9_mult_FI.jpg,151,FALSE,1680,1.035714162,1.043469131,1,380
negative,1,1050,add,1,1034,large,8_4_add_true.jpg,108,TRUE,1680,0.900916979,0.676328631,1,60
negative,1,1050,add,2,1034,small,8_2_add_true.jpg,109,TRUE,1680,0.458932976,0.426516445,1,60
neutral,1,1050,add,1,1034,small,5_3_add_true.jpg,114,TRUE,1680,0.130532749,0.146911699,1,380
negative,1,1050,add,1,1034,small,8_2_add_true.jpg,120,TRUE,1680,0.104135461,0.04554226,0,440
neutral,1,1050,add,1,1034,small,3_6_add_true.jpg,126,TRUE,1680,-0.414532472,-0.471793922,0,560
negative,1,1050,add,2,1034,small,3_6_add_FI.jpg,128,FALSE,1680,0.172253504,0.013696802,0,540
neutral,1,1050,mult,2,1034,large,9_7_mult_FI.jpg,130,FALSE,1680,0.061025127,0.024775024,0,500
neutral,1,1050,add,1,1034,small,2_7_add_true.jpg,132,TRUE,1680,-0.075364261,-0.054925032,0,460
negative,1,1050,mult,2,1034,small,3_6_mult_true.jpg,151,TRUE,1680,0.311289958,0.370014486,0,100
negative,1,1050,add,1,1035,small,8_2_add_FNI.jpg,103,FALSE,1680,-0.136572598,-0.133171006,0,520
negative,1,1050,add,1,1035,small,2_7_add_true.jpg,106,TRUE,1680,0.715326595,0.784327126,0,40
neutral,1,1050,add,2,1035,large,4_9_add_FI.jpg,106,FALSE,1680,1.026594658,1.698561984,0,240
neutral,1,1050,mult,1,1035,small,2_7_mult_true.jpg,106,TRUE,1680,0.610370867,0.386846285,0,40
negative,1,1050,add,1,1035,large,4_9_add_true.jpg,108,TRUE,1680,0.497450885,0.397484215,0,60
negative,1,1050,add,2,1035,large,8_4_add_FNI.jpg,110,FALSE,1680,-0.189252423,-0.194566491,0,480
neutral,1,1050,mult,1,1035,large,8_4_mult_FNI.jpg,123,FALSE,1680,0.050236881,0.037454295,0,520
negative,1,1050,mult,1,1035,large,6_8_mult_true.jpg,128,TRUE,1680,0.844564077,0.922401559,0,120
neutral,1,1050,mult,2,1035,large,4_9_mult_FI.jpg,138,FALSE,1680,0.424775982,0.588239542,0,340
neutral,1,1050,mult,2,1035,small,3_6_mult_true.jpg,145,TRUE,1680,0.154089608,0.145338371,0,80
negative,1,1050,mult,1,1035,small,3_6_mult_true.jpg,146,TRUE,1680,0.145663632,0.172791289,0,560
neutral,1,1050,mult,2,1036,small,3_6_mult_true.jpg,105,TRUE,1680,0.393506786,0.347608252,0,300
negative,1,1050,add,2,1036,small,5_3_add_true.jpg,117,TRUE,1680,0.112120364,0.088846058,0,620
negative,1,1050,mult,2,1036,small,3_6_mult_true.jpg,119,TRUE,1680,0.016353817,0.005797835,0,480
neutral,1,1050,add,1,1036,small,3_6_add_true.jpg,126,TRUE,1680,0.805578312,0.01403073,1,420
neutral,1,1050,mult,1,1036,small,8_2_mult_FNI.jpg,129,FALSE,1680,1.005544405,0.762364323,1,80
neutral,1,1050,add,2,1036,small,8_2_add_true.jpg,131,TRUE,1680,0.290102631,0.311801005,0,60
neutral,1,1050,add,1,1036,large,6_8_add_true.jpg,132,TRUE,1680,0.05023061,0.031579511,0,480
negative,1,1050,add,1,1036,small,5_3_add_true.jpg,138,TRUE,1680,0.222979386,0.229902148,0,480
negative,1,1050,add,2,1036,small,5_3_add_FI.jpg,138,FALSE,1680,0.141548391,0.126022959,0,480
negative,1,1050,add,2,1036,small,5_3_add_true.jpg,145,TRUE,1680,-0.120637036,0.021970953,0,140
negative,1,1050,mult,2,1036,small,3_6_mult_true.jpg,145,TRUE,1680,0.104290839,0.060745957,0,260
neutral,1,1050,mult,2,1037,large,4_9_mult_true.jpg,105,TRUE,1680,0.284763175,0.293195286,1,440
negative,1,1050,mult,2,1037,large,4_9_mult_FNI.jpg,108,FALSE,1680,0.632219396,0.62468819,0,40
neutral,1,1050,mult,1,1037,large,8_4_mult_FNI.jpg,111,FALSE,1680,-0.083192915,-0.009876129,0,360
neutral,1,1050,add,1,1037,small,5_3_add_true.jpg,112,TRUE,1680,-0.136084821,-0.123916009,0,600
neutral,1,1050,add,1,1037,small,8_2_add_true.jpg,120,TRUE,1680,0.06763217,0.05917393,0,500
neutral,1,1050,mult,1,1037,small,3_6_mult_FNI.jpg,121,FALSE,1680,1.538232671,1.551810068,1,260
neutral,1,1050,mult,2,1037,small,2_7_mult_FNI.jpg,126,FALSE,1680,-0.135348698,-0.087547476,0,580
neutral,1,1050,mult,2,1037,large,4_9_mult_true.jpg,129,TRUE,1680,0.211445554,0.019114833,0,300
neutral,1,1050,mult,1,1037,small,5_3_mult_FNI.jpg,129,FALSE,1680,0.341307549,0.340738476,0,60
negative,1,1050,mult,2,1037,large,4_9_mult_FNI.jpg,132,FALSE,1680,0.129595983,0.125079348,0,460
negative,1,1050,mult,1,1037,large,9_7_mult_true.jpg,132,TRUE,1680,-0.078042523,-0.082435507,0,540
negative,1,1050,add,2,1037,small,2_7_add_true.jpg,139,TRUE,1680,-0.656253963,-0.753118913,0,340
neutral,1,1050,mult,2,1037,small,8_2_mult_FNI.jpg,148,FALSE,1680,0.188978959,0.186363054,0,280
negative,1,1050,mult,1,1038,small,2_7_mult_true.jpg,102,TRUE,1680,-0.078517518,-0.015412589,0,80
negative,1,1050,mult,1,1038,small,3_6_mult_FNI.jpg,103,FALSE,1680,0.570707714,0.804133312,0,40
negative,1,1050,mult,2,1038,large,6_8_mult_true.jpg,105,TRUE,1680,-0.110167052,-0.095331817,0,300
negative,1,1050,add,2,1038,large,8_4_add_true.jpg,107,TRUE,1680,-0.095222464,-0.103604844,0,540
neutral,1,1050,mult,1,1038,small,3_6_mult_true.jpg,112,TRUE,1680,0.222159497,0.084873494,0,220
neutral,1,1050,mult,1,1038,small,5_3_mult_FI.jpg,115,FALSE,1680,-0.099643674,0.005233363,0,500
neutral,1,1050,mult,1,1038,large,4_9_mult_true.jpg,120,TRUE,1680,0.083614211,0.061053974,0,160
negative,1,1050,add,2,1038,small,5_3_add_true.jpg,125,TRUE,1680,-0.368013374,-0.513312517,1,160
negative,1,1050,add,1,1038,large,4_9_add_FNI.jpg,129,FALSE,1680,0.15096845,0.076509777,0,440
negative,1,1050,mult,2,1038,small,2_7_mult_FNI.jpg,130,FALSE,1680,-0.08482584,-0.090115344,0,440
neutral,1,1050,mult,2,1038,small,2_7_mult_FI.jpg,132,FALSE,1680,0.713038376,0.664912736,1,460
neutral,1,1050,mult,2,1038,small,2_7_mult_true.jpg,137,TRUE,1680,0.081964784,-0.009216889,0,520
negative,1,1050,mult,2,1038,large,8_4_mult_FNI.jpg,138,FALSE,1680,0.104457678,0.082992282,0,460
negative,1,1050,add,1,1038,small,2_7_add_true.jpg,148,TRUE,1680,0.241317278,0.24837935,0,320
neutral,1,1050,mult,2,1038,small,2_7_mult_FNI.jpg,148,FALSE,1680,0.232174644,0.222142411,0,300
neutral,1,1050,mult,2,1038,large,9_7_mult_true.jpg,151,TRUE,1680,-0.091056958,-0.083087601,0,500
neutral,1,1050,add,2,1039,small,3_6_add_FI.jpg,104,FALSE,1680,-0.405433738,-0.490995647,0,480
negative,1,1050,mult,2,1039,small,3_6_mult_true.jpg,105,TRUE,1680,0.461116177,0.457846408,0,260
negative,1,1050,add,1,1039,small,3_6_add_FNI.jpg,107,FALSE,1680,0.176200001,0.177300385,1,360
neutral,1,1050,mult,1,1039,small,3_6_mult_true.jpg,108,TRUE,1680,0.344248627,0.338704258,0,320
neutral,1,1050,add,1,1039,small,8_2_add_true.jpg,110,TRUE,1680,-0.102848243,-0.089173715,0,520
negative,1,1050,add,2,1039,small,3_6_add_true.jpg,111,TRUE,1680,-0.058787781,-0.031786498,0,420
neutral,1,1050,mult,2,1039,large,4_9_mult_true.jpg,117,TRUE,1680,0.03815079,0.0153714,0,600
neutral,1,1050,add,1,1039,small,8_2_add_true.jpg,126,TRUE,1680,0.916694858,1.078533226,2,580
neutral,1,1050,add,2,1039,large,6_8_add_true.jpg,129,TRUE,1680,-0.058323654,-0.057599931,0,680
negative,1,1050,add,2,1039,small,5_3_add_FI.jpg,132,FALSE,1680,-0.035032522,-0.003679128,0,600
negative,1,1050,add,2,1039,small,5_3_add_FNI.jpg,132,FALSE,1680,0.138411701,0.11394543,0,380
neutral,1,1050,mult,2,1039,large,6_8_mult_true.jpg,139,TRUE,1680,1.581722123,2.088173501,0,280
neutral,1,1050,mult,1,1039,small,2_7_mult_true.jpg,140,TRUE,1680,-0.670452367,0.333207288,3,280
neutral,1,1050,mult,2,1040,small,2_7_mult_true.jpg,109,TRUE,1680,1.382123637,1.410497026,2,300
negative,1,1050,mult,1,1040,large,8_4_mult_true.jpg,110,TRUE,1680,0.379542537,0.408167844,0,580
negative,1,1050,mult,1,1040,large,9_7_mult_true.jpg,110,TRUE,1680,0.202674646,0.194346082,0,520
neutral,1,1050,add,2,1040,small,8_2_add_FNI.jpg,120,FALSE,1680,0.038283802,0.011489939,0,580
negative,1,1050,add,1,1040,small,8_2_add_FNI.jpg,123,FALSE,1680,0.443918704,0.160341177,0,180
negative,1,1050,add,1,1040,small,2_7_add_true.jpg,126,TRUE,1680,-0.59357601,-0.465463741,0,500
neutral,1,1050,add,1,1040,small,5_3_add_FI.jpg,127,FALSE,1680,0.267000551,0.326236516,0,560
negative,1,1050,add,2,1040,large,6_8_add_FI.jpg,132,FALSE,1680,0.185318043,0.1408211,0,380
negative,1,1050,mult,2,1040,large,8_4_mult_FNI.jpg,132,FALSE,1680,0.065774306,0.021666916,0,560
negative,1,1050,mult,1,1040,large,8_4_mult_true.jpg,138,TRUE,1680,0.238888379,0.292510544,0,440
neutral,1,1050,add,1,1040,large,9_7_add_FNI.jpg,139,FALSE,1680,-0.49185365,-0.427844712,1,40
